ID,WEIGHT,LENGTH
20190266,2.0,36.4
20190267,12.75,52.7
20190268,4.0,44.4
20190269,7.04,50.8
20190270,3.925,41.5
20190271,2.325,32.2
20190272,1.665,30.2
20190273,4.29,43.0
20190274,2.0,35.5
20190275,6.56,52.0
20190276,2.355,33.7
20190277,2.23,35.6
20190278,4.125,43.0
20190279,1.035,29.4
20190280,2.67,38.5
20190281,3.5,34.5
20190282,2.8,38.1
20190283,1.785,36.0
20190284,4.95,48.0
20190285,4.295,42.3
20190286,7.5,51.7
20190287,1.755,30.1
20190288,1.805,35.1
20190289,1.0,29.2
20190290,4.235,43.5
20190291,1.75,29.8
20190292,10.0,67.9
20190293,5.5,43.8
20190294,1.845,30.6
20190295,2.995,32.5
20190296,1.94,36.4
20190297,3.015,38.0
20190298,2.95,32.9
20190299,5.37,46.5
20190300,1.25,25.1
20190301,4.25,49.4
20190302,8.15,52.6
20190303,6.5,52.3
20190304,4.36,44.0
20190305,3.595,40.2
20190306,6.5,49.3
20190307,5.0,44.6
20190308,2.42,32.0
20190309,3.875,38.7
20190310,2.46,35.3
20190311,2.495,34.4
20190312,3.375,40.0
20190313,6.5,52.5
20190314,4.055,44.1
20190315,11.0,66.8
20190316,9.155,52.4
20190317,3.3,34.3
20190318,3.725,45.0
20190319,4.44,43.9
20190320,2.975,38.2
20190321,7.305,57.8
20190322,1.475,32.1
20190323,1.7,31.0
20190324,1.18,31.5
20190325,3.5,41.1
20190326,2.905,38.2
20190327,3.625,43.7
20190328,13.0,59.2
20190329,3.0,40.0
20190330,3.18,41.2
20190331,3.25,41.8
20190332,6.5,48.5
20190333,5.05,38.3
20190334,2.15,32.7
20190335,6.365,46.5
20190336,1.07,26.5
20190337,1.435,32.6
20190338,5.75,47.9
20190339,4.5,50.8
20190340,8.5,52.7
20190341,3.875,37.2
20190342,6.4,51.4
20190343,2.275,38.2
20190344,2.185,32.7
20190345,5.5,48.8
20190346,5.7,47.5
20190347,4.385,44.6
20190348,1.765,33.2
20190349,3.25,41.4
20190350,5.08,44.1
20190351,5.585,51.8
20190352,1.775,30.5
20190353,4.175,35.8
20190354,5.255,45.2
20190355,1.67,32.2
20190356,8.75,53.0
20190357,6.475,54.5
20190358,1.81,30.3
20190359,3.85,41.5
