day_of_year,month,date_of_month,births
310,11,6,171454
311,11,7,175619
312,11,8,172970
313,11,9,167177
314,11,10,167194
315,11,11,168687
316,11,12,170386
317,11,13,166498
318,11,14,175402
319,11,15,174530
320,11,16,169573
321,11,17,168713
322,11,18,168878
323,11,19,173247
324,11,20,177926
325,11,21,180074
326,11,22,160582
327,11,23,148131
328,11,24,150369
329,11,25,149677
330,11,26,155791
331,11,27,150190
332,11,28,157291
333,11,29,167069
334,11,30,166427
335,12,1,170255
336,12,2,168725
337,12,3,171088
338,12,4,169826
339,12,5,173695
340,12,6,169540
341,12,7,164548
342,12,8,164440
343,12,9,163318
344,12,10,168432
345,12,11,168774
346,12,12,179554
347,12,13,168793
348,12,14,167888
349,12,15,168638
350,12,16,170252
351,12,17,176237
352,12,18,180913
353,12,19,186685
354,12,20,186593
355,12,21,179645
356,12,22,172148
357,12,23,155501
358,12,24,120516
359,12,25,96568
360,12,26,148113
361,12,27,182839
362,12,28,182888
363,12,29,181021
364,12,30,178769
365,12,31,158230
